pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-194002	Glucocorticoid biosynthesis	CHI3L1	5	174	-0.2085	0.157	-0.3655	0.6368843968913761	0.9958970300880995	False
R-HSA-390648	Muscarinic acetylcholine receptors	CD44	5	174	0.135	-0.1904	0.3254	0.5143369325782041	0.9958970300880995	False
R-HSA-5576894	Phase 1 - inactivation of fast Na+ channels	CHI3L1	6	173	0.4826	0.1547	0.3279	0.7161311072663147	0.9958970300880995	False
R-HSA-5576894	Phase 1 - inactivation of fast Na+ channels	CD44	6	173	-2.3302	-0.1724	-2.1577	0.015037331928097818	0.9958970300880995	False
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	CHI3L1	8	171	1.7197	0.0723	1.6474	0.03954676764197771	0.9958970300880995	False
R-HSA-499943	Interconversion of nucleotide di- and triphosphates	CD44	8	171	0.8071	-0.2227	1.0298	0.047242799815504305	0.9958970300880995	False
R-HSA-5620971	Pyroptosis	CHI3L1	5	174	3.7839	0.1231	3.6608	0.04502730677377912	0.9958970300880995	False
R-HSA-5620971	Pyroptosis	CD44	5	174	0.8239	-0.1904	1.0143	0.25463219776492385	0.9958970300880995	False
R-HSA-68875	Mitotic Prophase	CHI3L1	8	171	0.4826	0.1547	0.3279	0.7036203796107033	0.9958970300880995	False
R-HSA-68875	Mitotic Prophase	CD44	8	171	0.1561	-0.1808	0.337	0.6045075455523189	0.9958970300880995	False
R-HSA-1483191	Synthesis of PC	CHI3L1	7	172	1.1736	0.1231	1.0505	0.44053880288178693	0.9958970300880995	False
R-HSA-1483191	Synthesis of PC	CD44	7	172	-0.8116	-0.1803	-0.6313	0.9448625116412228	0.9958970300880995	False
R-HSA-422085	Synthesis, secretion, and deacylation of Ghrelin	CHI3L1	8	171	0.1159	0.1547	-0.0388	0.6045075455523189	0.9958970300880995	False
R-HSA-422085	Synthesis, secretion, and deacylation of Ghrelin	CD44	8	171	-1.3189	-0.1724	-1.1465	0.09791990336939879	0.9958970300880995	False
