Submitted identifier,Found identifier,Resource
NLGN3,Q9NZ94,UNIPROT
GRIA2,ENSG00000120251,ENSEMBL
GRIA2,P42262,UNIPROT
IDH1,ENSG00000138413,ENSEMBL
IDH1,O75874,UNIPROT
IDH1,P51553,UNIPROT
STAT3,P40763,UNIPROT
STAT3,ENSG00000168610,ENSEMBL
ATRX,P46100,UNIPROT
PTEN,P60484,UNIPROT
PTEN,ENSG00000171862,ENSEMBL
PTEN,ENST00000371953,ENSEMBL
EGFR,P00533,UNIPROT
EGFR,ENSG00000146648,ENSEMBL
EGFR,ENST00000275493,ENSEMBL
SOX2,P48431,UNIPROT
SOX2,ENSG00000181449,ENSEMBL
OBSCN,Q5VST9,UNIPROT
NF1,P21359,UNIPROT
CHI3L1,P36222,UNIPROT
TP53,P04637,UNIPROT
TP53,ENSG00000141510,ENSEMBL
CD44,ENST00000278386,ENSEMBL
CD44,ENSG00000026508,ENSEMBL
CD44,P16070,UNIPROT
CD44,ENST00000263398,ENSEMBL
CD44,ENST00000352818,ENSEMBL
CD44,ENST00000428726,ENSEMBL
CD44,ENST00000279452,ENSEMBL
CD44,ENST00000278385,ENSEMBL
