Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-428359,"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA",5,13,7.999507722601686E-4,7.630851506235103E-11,2.792891651282048E-8,2,3,1.8646280067126608E-4,9606,Homo sapiens,"CD44","","R-HSA-428287;R-HSA-428296"
R-HSA-9927432,"Developmental Lineage of Mammary Gland Myoepithelial Cells",4,36,0.0022152482924127745,9.360707495797982E-7,1.7130094717310307E-4,2,2,1.2430853378084405E-4,9606,Homo sapiens,"EGFR;CD44","","R-HSA-9925879;R-HSA-9925892"
R-HSA-8986944,"Transcriptional Regulation by MECP2",5,100,0.006153467478924374,1.8137276355245646E-6,2.0531094323239518E-4,6,77,0.004785878550562496,9606,Homo sapiens,"SOX2;GRIA2;PTEN","","R-HSA-9615554;R-HSA-9615570;R-HSA-9615571;R-HSA-9615536;R-HSA-9022365;R-HSA-9022359"
R-HSA-452723,"Transcriptional regulation of pluripotent stem cells",4,45,0.0027690603655159685,2.256164211345002E-6,2.0531094323239518E-4,30,35,0.002175399341164771,9606,Homo sapiens,"SOX2;STAT3","","R-HSA-2972975;R-HSA-480515;R-HSA-2972965;R-HSA-452750;R-HSA-2972964;R-HSA-2972967;R-HSA-480204;R-HSA-2972966;R-HSA-2972960;R-HSA-2895778;R-HSA-480520;R-HSA-2972962;R-HSA-480470;R-HSA-452894;R-HSA-452958;R-HSA-452701;R-HSA-2972977;R-HSA-2972979;R-HSA-2972978;R-HSA-6800120;R-HSA-452838;R-HSA-452515;R-HSA-480685;R-HSA-452392;R-HSA-1112609;R-HSA-2972956;R-HSA-452338;R-HSA-2972949;R-HSA-2972948;R-HSA-480509"
R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",3,21,0.0012922281705741185,1.1435905517553913E-5,8.348211027814356E-4,16,16,9.944682702467524E-4,9606,Homo sapiens,"SOX2;STAT3","","R-HSA-2972975;R-HSA-480515;R-HSA-452515;R-HSA-452750;R-HSA-2972964;R-HSA-2972967;R-HSA-2972960;R-HSA-2972962;R-HSA-480470;R-HSA-2972956;R-HSA-452338;R-HSA-452958;R-HSA-480509;R-HSA-452701;R-HSA-2972978;R-HSA-6800120"
R-HSA-9924644,"Developmental Lineages of the Mammary Gland",4,81,0.0049843086579287425,2.2498499130385596E-5,0.0013724084469535214,5,8,4.972341351233762E-4,9606,Homo sapiens,"EGFR;CD44","","R-HSA-9925879;R-HSA-9925892;R-HSA-9927428;R-HSA-9960175;R-HSA-9925817"
R-HSA-6804754,"Regulation of TP53 Expression",2,4,2.4613869915697496E-4,3.182621742714442E-5,0.0016549633062115099,5,5,3.1077133445211015E-4,9606,Homo sapiens,"TP53","","R-HSA-6804194;R-HSA-6804193;R-HSA-6804191;R-HSA-6804188;R-HSA-6804762"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",5,211,0.012983816380530429,6.46633743500713E-5,0.0029098518457532085,19,47,0.002921250543849835,9606,Homo sapiens,"SOX2;STAT3;TP53","","R-HSA-6788582;R-HSA-6790022;R-HSA-6786095;R-HSA-6788623;R-HSA-6789615;R-HSA-6788622;R-HSA-6790029;R-HSA-6786124;R-HSA-6790025;R-HSA-6789960;R-HSA-6790038;R-HSA-6786293;R-HSA-6788628;R-HSA-6790036;R-HSA-6786097;R-HSA-6797245;R-HSA-6788571;R-HSA-6790041;R-HSA-6786072"
R-HSA-9818025,"NFE2L2 regulating TCA cycle genes",2,7,4.3074272352470615E-4,9.709687533865363E-5,0.0038838750135461453,2,4,2.486170675616881E-4,9606,Homo sapiens,"IDH1","","R-HSA-9761844;R-HSA-9761822"
R-HSA-9734779,"Developmental Cell Lineages of the Integumentary System",4,122,0.007507230324287736,1.0920883683074312E-4,0.003931518125906752,5,12,7.458512026850643E-4,9606,Homo sapiens,"EGFR;CD44","","R-HSA-9925879;R-HSA-9925892;R-HSA-9927428;R-HSA-9960175;R-HSA-9925817"
R-HSA-5628897,"TP53 Regulates Metabolic Genes",4,128,0.007876438373023199,1.312027669339022E-4,0.004329691308818773,16,34,0.002113245074274349,9606,Homo sapiens,"PTEN;TP53","","R-HSA-5632759;R-HSA-5632887;R-HSA-2318752;R-HSA-5632914;R-HSA-5632924;R-HSA-5632892;R-HSA-5632766;R-HSA-5629189;R-HSA-5628901;R-HSA-2321904;R-HSA-5632993;R-HSA-5629187;R-HSA-5628899;R-HSA-5632386;R-HSA-5632393;R-HSA-5632939"
R-HSA-6807070,"PTEN Regulation",4,156,0.009599409267122024,2.781421700527309E-4,0.008344265101581927,42,56,0.0034806389458636334,9606,Homo sapiens,"PTEN;TP53","","R-HSA-6807206;R-HSA-8943817;R-HSA-6807077;R-HSA-8944650;R-HSA-8944522;R-HSA-2318752;R-HSA-8851011;R-HSA-8944397;R-HSA-8850945;R-HSA-8944078;R-HSA-8948800;R-HSA-8944706;R-HSA-8943811;R-HSA-8948569;R-HSA-8944026;R-HSA-8944538;R-HSA-8850961;R-HSA-8944599;R-HSA-8944104;R-HSA-8944684;R-HSA-6807106;R-HSA-8945709;R-HSA-6807105;R-HSA-8847968;R-HSA-8944047;R-HSA-8948832;R-HSA-6807118;R-HSA-8944099;R-HSA-8944483;R-HSA-8943780;R-HSA-8944420;R-HSA-8847977;R-HSA-8948775;R-HSA-8944632;R-HSA-6807126;R-HSA-8944569;R-HSA-8850997;R-HSA-8850992;R-HSA-8943728;R-HSA-6807134;R-HSA-8944497;R-HSA-5632939"
R-HSA-8943724,"Regulation of PTEN gene transcription",3,68,0.004184357885668575,3.638598963129347E-4,0.009908353099090661,13,15,9.323140033563305E-4,9606,Homo sapiens,"PTEN;TP53","","R-HSA-8944104;R-HSA-8943817;R-HSA-6807077;R-HSA-8944397;R-HSA-8944078;R-HSA-8944047;R-HSA-8944099;R-HSA-8943811;R-HSA-8943780;R-HSA-8944420;R-HSA-8944026;R-HSA-8943728;R-HSA-5632939"
R-HSA-9832991,"Formation of the posterior neural plate",2,14,8.614854470494123E-4,3.8494948611522695E-4,0.009908353099090661,4,6,3.7292560134253216E-4,9606,Homo sapiens,"SOX2","","R-HSA-9833063;R-HSA-9832988;R-HSA-9832845;R-HSA-9833066"
R-HSA-1257604,"PIP3 activates AKT signaling",5,315,0.01938342255861178,4.128480457954442E-4,0.009908353099090661,45,89,0.005531729753247561,9606,Homo sapiens,"PTEN;TP53;EGFR","","R-HSA-6807206;R-HSA-8943817;R-HSA-8857925;R-HSA-6807077;R-HSA-8944650;R-HSA-8944522;R-HSA-2318752;R-HSA-8851011;R-HSA-8944397;R-HSA-8850945;R-HSA-8944078;R-HSA-8948800;R-HSA-8944706;R-HSA-8943811;R-HSA-8948569;R-HSA-8944026;R-HSA-8944538;R-HSA-8850961;R-HSA-8944599;R-HSA-8944104;R-HSA-199456;R-HSA-8944684;R-HSA-6807106;R-HSA-8945709;R-HSA-6807105;R-HSA-8847968;R-HSA-8944047;R-HSA-8948832;R-HSA-6807118;R-HSA-8944099;R-HSA-8944483;R-HSA-8943780;R-HSA-8944420;R-HSA-8847977;R-HSA-8948775;R-HSA-8944632;R-HSA-6807126;R-HSA-2316434;R-HSA-8944569;R-HSA-8850997;R-HSA-8850992;R-HSA-8943728;R-HSA-6807134;R-HSA-8944497;R-HSA-5632939"
R-HSA-9823739,"Formation of the anterior neural plate",2,19,0.001169158820995631,7.045284648526939E-4,0.015499626226759267,4,15,9.323140033563305E-4,9606,Homo sapiens,"SOX2","","R-HSA-9832845;R-HSA-9833066;R-HSA-9832824;R-HSA-9832841"
