gene	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
RASGRP1	CD44	5	174	3.6705	-0.2248	3.8953	9.410768840470444e-05	0.5710454532397465	False
CDK8	CD44	5	174	1.5153	-0.2113	1.7267	0.05395275987480293	0.9962269014109203	False
CDH26	CD44	6	173	-0.9103	-0.1798	-0.7305	0.3679033645239788	0.9962269014109203	False
MET	CHI3L1	6	173	2.4108	0.1107	2.3002	0.02339371002132801	0.9962269014109203	False
NAALAD2	CD44	5	174	2.0688	-0.1904	2.2592	0.22972064358605268	0.9962269014109203	False
KRT33A	CHI3L1	5	174	-0.9349	0.1972	-1.132	0.08562968551382572	0.9962269014109203	False
BDP1	CD44	8	171	0.4872	-0.2	0.6872	0.3690526240228439	0.9962269014109203	False
TTLL10	CD44	5	174	2.0688	-0.1904	2.2592	0.20970175931912416	0.9962269014109203	False
TTLL10	CHI3L1	5	174	1.4486	0.1452	1.3034	0.42445056467583714	0.9962269014109203	False
TNR	CD44	8	171	1.1884	-0.2	1.3884	0.18481268888005176	0.9962269014109203	False
MTUS2	CHI3L1	8	171	-0.9242	0.2217	-1.1459	0.08279026609173647	0.9962269014109203	False
MECOM	CD44	6	173	-0.5857	-0.1808	-0.4049	0.31137931201716296	0.9962269014109203	False
ADAR	CHI3L1	5	174	1.408	0.1231	1.2848	0.08734437844317422	0.9962269014109203	False
ZNF148	CD44	6	173	1.3834	-0.2	1.5834	0.2889184820549116	0.9962269014109203	False
CYP2C8	CD44	5	174	1.9429	-0.2248	2.1677	0.016644501181099152	0.9962269014109203	False
CYP2C8	CHI3L1	5	174	1.5527	0.1452	1.4075	0.31795073689801917	0.9962269014109203	False
NCF2	CHI3L1	5	174	-1.0398	0.166	-1.2057	0.37126973102541483	0.9962269014109203	False
PIK3CA	CD44	30	149	-0.0523	-0.2227	0.1704	0.37130637750885553	0.9962269014109203	False
ZNF384	CHI3L1	6	173	1.5348	0.1356	1.3992	0.2816678428813513	0.9962269014109203	False
PLEKHG6	CD44	5	174	0.916	-0.2113	1.1274	0.23317635223981353	0.9962269014109203	False
PLEKHG6	CHI3L1	5	174	2.9293	0.1231	2.8061	0.14649131207520197	0.9962269014109203	False
FSTL5	CD44	6	173	0.954	-0.1808	1.1348	0.4072354851004348	0.9962269014109203	False
FSTL5	CHI3L1	6	173	-0.5937	0.1594	-0.753	0.3679033645239788	0.9962269014109203	False
LRRC31	CD44	5	174	0.916	-0.2113	1.1274	0.141509063692335	0.9962269014109203	False
ZNF814	CD44	10	169	0.7521	-0.2	0.9521	0.437942822899974	0.9962269014109203	False
SMO	CD44	5	174	0.8239	-0.1904	1.0143	0.3666373999262974	0.9962269014109203	False
LRP4	CHI3L1	6	173	1.2866	0.1356	1.1509	0.3721591609559965	0.9962269014109203	False
ABCB4	CHI3L1	12	167	1.223	0.1107	1.1124	0.2769402205701309	0.9962269014109203	False
CAPN15	CD44	5	174	-0.8116	-0.1606	-0.651	0.0944615269572793	0.9962269014109203	False
