stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000362441	9606.ENSP00000493712	ATRX	RAD51	9606	0.999	0.042	0	0	0	0.886	0	0.998
9606.ENSP00000362441	9606.ENSP00000266000	ATRX	DAXX	9606	0.999	0	0	0	0.047	0.991	0.9	0.998
9606.ENSP00000362441	9606.ENSP00000254810	ATRX	H3-3B	9606	0.999	0	0	0	0.054	0.984	0.5	0.981
9606.ENSP00000362441	9606.ENSP00000355657	ATRX	H3-4	9606	0.995	0	0	0	0	0.911	0.5	0.913
9606.ENSP00000362441	9606.ENSP00000352252	ATRX	H3C12	9606	0.995	0	0	0	0.047	0.924	0	0.945
9606.ENSP00000362441	9606.ENSP00000351284	ATRX	RAD52	9606	0.993	0	0	0	0.047	0.129	0	0.992
9606.ENSP00000362441	9606.ENSP00000333277	ATRX	H3C13	9606	0.992	0	0	0	0.049	0.911	0	0.913
9606.ENSP00000362441	9606.ENSP00000339835	ATRX	H3-5	9606	0.991	0	0	0	0	0.911	0	0.913
9606.ENSP00000362441	9606.ENSP00000343023	ATRX	SP100	9606	0.991	0	0	0	0.064	0.058	0	0.991
9606.ENSP00000362441	9606.ENSP00000499501	ATRX	H3-2	9606	0.991	0	0	0	0	0.911	0	0.912
9606.ENSP00000362441	9606.ENSP00000358154	ATRX	H3C14	9606	0.984	0	0	0	0	0.974	0	0.42
9606.ENSP00000362441	9606.ENSP00000395535	ATRX	MECP2	9606	0.981	0	0	0	0.102	0.379	0	0.969
9606.ENSP00000362441	9606.ENSP00000269305	ATRX	TP53	9606	0.981	0	0	0	0	0.51	0	0.962
9606.ENSP00000362441	9606.ENSP00000336606	ATRX	RAD54B	9606	0.98	0	0	0.118	0.049	0	0	0.978
9606.ENSP00000362441	9606.ENSP00000270172	ATRX	DNMT3L	9606	0.978	0	0	0	0.055	0.065	0	0.978
9606.ENSP00000362441	9606.ENSP00000355780	ATRX	H3-3A	9606	0.976	0	0	0	0	0.911	0	0.741
9606.ENSP00000362441	9606.ENSP00000484658	ATRX	H3C3	9606	0.966	0	0	0	0	0.911	0	0.635
9606.ENSP00000362441	9606.ENSP00000480826	ATRX	H3C1	9606	0.964	0	0	0	0	0.961	0	0.129
9606.ENSP00000362441	9606.ENSP00000484841	ATRX	H3C2	9606	0.964	0	0	0	0.042	0.911	0	0.614
9606.ENSP00000362441	9606.ENSP00000483397	ATRX	FSBP	9606	0.964	0	0	0.111	0	0	0	0.961
