stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000390265	9606.ENSP00000309477	IDH1	ACO1	9606	0.998	0.102	0	0	0.621	0.054	0.942	0.917
9606.ENSP00000390265	9606.ENSP00000216254	IDH1	ACO2	9606	0.998	0.102	0	0	0.624	0.067	0.942	0.913
9606.ENSP00000390265	9606.ENSP00000217901	IDH1	IDH3G	9606	0.996	0.057	0	0	0.087	0.611	0.9	0.924
9606.ENSP00000390265	9606.ENSP00000342056	IDH1	CS	9606	0.993	0.12	0	0	0.831	0.162	0.287	0.934
9606.ENSP00000390265	9606.ENSP00000388183	IDH1	OGDH	9606	0.99	0	0	0	0.403	0	0.942	0.734
9606.ENSP00000390265	9606.ENSP00000482773	IDH1	IDH3B	9606	0.988	0.057	0	0	0.092	0.611	0.9	0.708
9606.ENSP00000390265	9606.ENSP00000299518	IDH1	IDH3A	9606	0.987	0.057	0	0	0.11	0.389	0.9	0.793
9606.ENSP00000390265	9606.ENSP00000363216	IDH1	OGDHL	9606	0.981	0	0	0	0.402	0	0.942	0.502
9606.ENSP00000390265	9606.ENSP00000277865	IDH1	GLUD1	9606	0.973	0	0	0	0.165	0.069	0.913	0.656
9606.ENSP00000390265	9606.ENSP00000327070	IDH1	MDH2	9606	0.97	0.061	0	0	0.41	0.293	0	0.933
9606.ENSP00000390265	9606.ENSP00000327589	IDH1	GLUD2	9606	0.963	0	0	0	0.155	0.069	0.913	0.528
9606.ENSP00000390265	9606.ENSP00000331897	IDH1	IDH2	9606	0.961	0	0	0.055	0.048	0.608	0.9	0.068
9606.ENSP00000390265	9606.ENSP00000355518	IDH1	FH	9606	0.957	0	0	0	0.311	0.062	0	0.938
9606.ENSP00000390265	9606.ENSP00000245206	IDH1	GOT2	9606	0.952	0	0	0	0.304	0	0.8	0.683
9606.ENSP00000390265	9606.ENSP00000466259	IDH1	ACLY	9606	0.935	0.102	0	0	0.63	0	0	0.82
9606.ENSP00000390265	9606.ENSP00000302111	IDH1	MGMT	9606	0.934	0.1	0	0	0	0	0	0.929
9606.ENSP00000390265	9606.ENSP00000359539	IDH1	GOT1	9606	0.929	0	0	0	0.199	0.202	0.8	0.516
9606.ENSP00000390265	9606.ENSP00000442788	IDH1	TET2	9606	0.914	0	0	0	0	0	0	0.914
9606.ENSP00000390265	9606.ENSP00000364839	IDH1	ASXL1	9606	0.899	0	0	0	0	0	0	0.899
9606.ENSP00000390265	9606.ENSP00000315351	IDH1	D2HGDH	9606	0.895	0	0	0	0	0	0	0.895
