stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000264657	9606.ENSP00000499900	STAT3	JAK1	9606	0.999	0	0	0	0.184	0.839	0.9	0.999
9606.ENSP00000264657	9606.ENSP00000371067	STAT3	JAK2	9606	0.999	0	0	0	0.107	0.885	0.9	0.999
9606.ENSP00000264657	9606.ENSP00000354394	STAT3	STAT1	9606	0.999	0	0	0.064	0.192	0.874	0.9	0.982
9606.ENSP00000264657	9606.ENSP00000376765	STAT3	PIAS3	9606	0.999	0	0	0	0.056	0.808	0.65	0.987
9606.ENSP00000264657	9606.ENSP00000362680	STAT3	SRC	9606	0.999	0	0	0	0.091	0.841	0.9	0.996
9606.ENSP00000264657	9606.ENSP00000263253	STAT3	EP300	9606	0.999	0	0	0	0.126	0.856	0.75	0.992
9606.ENSP00000264657	9606.ENSP00000275493	STAT3	EGFR	9606	0.998	0	0	0	0.042	0.925	0	0.985
9606.ENSP00000264657	9606.ENSP00000293328	STAT3	STAT5B	9606	0.998	0	0	0	0.175	0.387	0.9	0.968
9606.ENSP00000264657	9606.ENSP00000432511	STAT3	JAK3	9606	0.998	0	0	0	0.102	0.472	0.9	0.966
9606.ENSP00000264657	9606.ENSP00000431885	STAT3	TYK2	9606	0.997	0	0	0	0.107	0.285	0.9	0.959
9606.ENSP00000264657	9606.ENSP00000341208	STAT3	STAT5A	9606	0.997	0	0	0	0.181	0	0.9	0.974
9606.ENSP00000264657	9606.ENSP00000215832	STAT3	MAPK1	9606	0.996	0	0	0	0.06	0.926	0	0.95
9606.ENSP00000264657	9606.ENSP00000306245	STAT3	FOS	9606	0.995	0	0	0	0.132	0.429	0.5	0.984
9606.ENSP00000264657	9606.ENSP00000229307	STAT3	NANOG	9606	0.995	0	0	0	0	0	0.9	0.952
9606.ENSP00000264657	9606.ENSP00000360266	STAT3	JUN	9606	0.995	0	0	0	0.061	0.328	0	0.993
9606.ENSP00000264657	9606.ENSP00000330341	STAT3	SOCS3	9606	0.994	0	0	0	0.297	0.34	0.75	0.961
9606.ENSP00000264657	9606.ENSP00000437955	STAT3	HIF1A	9606	0.994	0	0	0	0.115	0.738	0.75	0.923
9606.ENSP00000264657	9606.ENSP00000269305	STAT3	TP53	9606	0.994	0	0	0	0.063	0.164	0.8	0.97
9606.ENSP00000264657	9606.ENSP00000357470	STAT3	IL6R	9606	0.993	0	0	0	0.131	0.292	0.9	0.902
9606.ENSP00000264657	9606.ENSP00000370989	STAT3	CD274	9606	0.992	0	0	0	0.124	0	0.75	0.967
