stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000269305	9606.ENSP00000340989	TP53	SFN	9606	0.999	0	0	0	0	0.981	0.75	0.859
9606.ENSP00000269305	9606.ENSP00000263253	TP53	EP300	9606	0.999	0	0	0	0.049	0.999	0.9	0.998
9606.ENSP00000269305	9606.ENSP00000437955	TP53	HIF1A	9606	0.999	0	0	0	0	0.847	0	0.994
9606.ENSP00000269305	9606.ENSP00000362649	TP53	HDAC1	9606	0.999	0	0	0	0.109	0.924	0.5	0.994
9606.ENSP00000269305	9606.ENSP00000335153	TP53	HSP90AA1	9606	0.999	0	0	0	0	0.903	0	0.995
9606.ENSP00000269305	9606.ENSP00000278616	TP53	ATM	9606	0.999	0	0	0	0.103	0.928	0.9	0.975
9606.ENSP00000269305	9606.ENSP00000356150	TP53	MDM4	9606	0.999	0	0	0	0.093	0.999	0.9	0.998
9606.ENSP00000269305	9606.ENSP00000372023	TP53	CHEK2	9606	0.999	0	0	0	0.072	0.833	0.75	0.992
9606.ENSP00000269305	9606.ENSP00000381185	TP53	BCL2	9606	0.999	0	0	0	0.103	0.869	0.9	0.999
9606.ENSP00000269305	9606.ENSP00000365230	TP53	BCL2L1	9606	0.999	0	0	0	0.074	0.986	0	0.998
9606.ENSP00000269305	9606.ENSP00000354218	TP53	PPP1R13L	9606	0.999	0	0	0	0.044	0.984	0.5	0.91
9606.ENSP00000269305	9606.ENSP00000266000	TP53	DAXX	9606	0.999	0	0	0	0.122	0.895	0.9	0.952
9606.ENSP00000269305	9606.ENSP00000212015	TP53	SIRT1	9606	0.999	0	0	0	0	0.886	0.9	0.99
9606.ENSP00000269305	9606.ENSP00000418960	TP53	BRCA1	9606	0.999	0	0	0	0.067	0.895	0.5	0.999
9606.ENSP00000269305	9606.ENSP00000384849	TP53	CDKN1A	9606	0.999	0	0	0	0	0.925	0.9	0.96
9606.ENSP00000269305	9606.ENSP00000341957	TP53	TP53BP2	9606	0.999	0	0	0	0	0.988	0.5	0.996
9606.ENSP00000269305	9606.ENSP00000497594	TP53	UBE3A	9606	0.999	0	0	0	0	0.923	0.9	0.993
9606.ENSP00000269305	9606.ENSP00000343535	TP53	USP7	9606	0.999	0	0	0	0	0.975	0.9	0.973
9606.ENSP00000269305	9606.ENSP00000262367	TP53	CREBBP	9606	0.999	0	0	0	0	0.998	0.9	0.996
9606.ENSP00000269305	9606.ENSP00000258149	TP53	MDM2	9606	0.999	0	0	0	0.116	0.999	0.9	0.999
