symbol,ensembl_id
PPP6C,ENSG00000119414
NUFIP2,ENSG00000108256
SLC41A3,ENSG00000114544
SF3B6,ENSG00000115128
BRF2,ENSG00000104221
RPS9,ENSG00000170889
RNF38,ENSG00000137075
TAF10,ENSG00000166337
POLR3C,ENSG00000186141
GLRA2,ENSG00000101958
THOC7,ENSG00000163634
CDC5L,ENSG00000096401
HMGN2,ENSG00000198830
GTF2I,ENSG00000263001
MAPT-AS1,ENSG00000264589
CX3CR1,ENSG00000168329
ASPM,ENSG00000066279
DYNLL1,ENSG00000088986
KCNQ2,ENSG00000075043
CAMTA2,ENSG00000108509
HEXIM1,ENSG00000186834
KCNJ15,ENSG00000157551
RPS29,ENSG00000213741
BUD31,ENSG00000106245
KRTCAP2,ENSG00000163463
NAA15,ENSG00000164134
SRSF10,ENSG00000188529
HIVEP2,ENSG00000010818
HMGN1,ENSG00000205581
RPL36,ENSG00000130255
EMC6,ENSG00000127774
BCL7C,ENSG00000099385
PSMD12,ENSG00000197170
DAPP1,ENSG00000070190
CMPK1,ENSG00000162368
PPP2R5A,ENSG00000066027
WASL,ENSG00000106299
MAPRE1,ENSG00000101367
ST8SIA2,ENSG00000140557
P4HB,ENSG00000185624
PSMB4,ENSG00000159377
CASC3,ENSG00000108349
PSMD7,ENSG00000103035
ELOB,ENSG00000103363
UBB,ENSG00000170315
KATNAL2,ENSG00000167216
SLC7A5,ENSG00000103257
VPS36,ENSG00000136100
SERF2,ENSG00000140264
BSG,ENSG00000172270
RCN1,ENSG00000049449
TNFAIP1,ENSG00000109079
FN3KRP,ENSG00000141560
CIC,ENSG00000079432
CENPB,ENSG00000125817
MYDGF,ENSG00000074842
NFIB,ENSG00000147862
IQGAP3,ENSG00000183856
PTPN11,ENSG00000179295
MED19,ENSG00000156603
SNX5,ENSG00000089006
FAM20B,ENSG00000116199
SSB,ENSG00000138385
YWHAB,ENSG00000166913
DISC1,ENSG00000162946
SLCO1B3,ENSG00000111700
SARAF,ENSG00000133872
RPA2,ENSG00000117748
HCN2,ENSG00000099822
DCTPP1,ENSG00000179958
MSANTD2,ENSG00000120458
GPHN,ENSG00000171723
BIRC6,ENSG00000115760
PTTG1IP,ENSG00000183255
IL1R2,ENSG00000115590
VPS26C,ENSG00000157538
TMEM208,ENSG00000168701
PABPC1,ENSG00000070756
TEK,ENSG00000120156
BTF3,ENSG00000145741
NDUFB10,ENSG00000140990
UBA1,ENSG00000130985
OAZ2,ENSG00000180304
PRMT9,ENSG00000164169
RNF10,ENSG00000022840
EAPP,ENSG00000129518
GAPDH,ENSG00000111640
OVCA2,ENSG00000262664
TPO,ENSG00000115705
HDLBP,ENSG00000115677
ARAF,ENSG00000078061
TMSB10,ENSG00000034510
WDR45,ENSG00000196998
POLA2,ENSG00000014138
SAFB2,ENSG00000130254
CPT2,ENSG00000157184
TSR3,ENSG00000007520
DDHD2,ENSG00000085788
NPIPA1,ENSG00000183426
COX17,ENSG00000138495
FKBP1A,ENSG00000088832
PCDH15,ENSG00000150275
INPP1,ENSG00000151689
NAV2,ENSG00000166833
SCN3A,ENSG00000153253
RAB4A,ENSG00000168118
SAMD4B,ENSG00000179134
TMEM219,ENSG00000149932
SKI,ENSG00000157933
OTX1,ENSG00000115507
YKT6,ENSG00000106636
SUPT6H,ENSG00000109111
SETDB2,ENSG00000136169
PHF7,ENSG00000010318
FRK,ENSG00000111816
NDUFAB1,ENSG00000004779
VPS13B,ENSG00000132549
DNAH3,ENSG00000158486
MAN1A2,ENSG00000198162
SARNP,ENSG00000205323
RPS21,ENSG00000171858
MLF2,ENSG00000089693
RRAGC,ENSG00000116954
COPS4,ENSG00000138663
ZCCHC17,ENSG00000121766
SOX5,ENSG00000134532
GNAS,ENSG00000087460
CCNI,ENSG00000118816
GOSR2,ENSG00000108433
TMEM14B,ENSG00000137210
CSRNP2,ENSG00000110925
USE1,ENSG00000053501
SENP5,ENSG00000119231
BLOC1S4,ENSG00000186222
SDF4,ENSG00000078808
UBQLN4,ENSG00000160803
USP34,ENSG00000115464
NIPA2,ENSG00000140157
RHBDD2,ENSG00000005486
UBE2H,ENSG00000186591
TCF4,ENSG00000196628
STK39,ENSG00000198648
CMPK2,ENSG00000134326
CIAO2A,ENSG00000166797
GPC4,ENSG00000076716
RPL24,ENSG00000114391
HECW2,ENSG00000138411
CCIN,ENSG00000185972
PIAS4,ENSG00000105229
DYNC1LI2,ENSG00000135720
GRIA2,ENSG00000120251
ACAP2,ENSG00000114331
RP9,ENSG00000164610
GRIN2B,ENSG00000273079
UBE2V1,ENSG00000244687
LRRC47,ENSG00000130764
ARMCX3,ENSG00000102401
PRKCB,ENSG00000166501
ZC3H11A,ENSG00000058673
CMAS,ENSG00000111726
KCTD7,ENSG00000243335
ITM2B,ENSG00000136156
ZNF22,ENSG00000165512
TPM3,ENSG00000143549
