aliquot_barcode	true_mutation_count	case_barcode	timepoint
GLSS-19-0271-NB-01D-WXS-ZKP7GH	464	GLSS-19-0271	NB
GLSS-19-0271-R1-01D-WXS-9657ZY	464	GLSS-19-0271	R1
GLSS-19-0271-TP-01D-WXS-3TI55F	464	GLSS-19-0271	TP
GLSS-19-0272-NB-01D-WXS-FKUW3P	470	GLSS-19-0272	NB
GLSS-19-0272-R1-01D-WXS-E5JC16	470	GLSS-19-0272	R1
GLSS-19-0272-TP-01D-WXS-9YKK98	470	GLSS-19-0272	TP
GLSS-19-0273-NB-01D-WXS-Z4P98W	2382	GLSS-19-0273	NB
GLSS-19-0273-R1-01D-WXS-ZEKWL8	2382	GLSS-19-0273	R1
GLSS-19-0273-TP-01D-WXS-H00BNY	2382	GLSS-19-0273	TP
GLSS-19-0274-NB-01D-WXS-WUKBGV	433	GLSS-19-0274	NB
GLSS-19-0274-R1-01D-WXS-IAULWM	433	GLSS-19-0274	R1
GLSS-19-0274-TP-01D-WXS-F3BOIM	433	GLSS-19-0274	TP
GLSS-19-0277-NB-01D-WXS-OXVEGK	798	GLSS-19-0277	NB
GLSS-19-0277-R1-01D-WXS-OX9LZT	798	GLSS-19-0277	R1
GLSS-19-0277-TP-01D-WXS-CK54HQ	798	GLSS-19-0277	TP
GLSS-19-0278-NB-01D-WXS-62IWSL	547	GLSS-19-0278	NB
GLSS-19-0278-R1-01D-WXS-5MU7K1	547	GLSS-19-0278	R1
GLSS-19-0278-TP-01D-WXS-59Y0J0	547	GLSS-19-0278	TP
GLSS-19-0279-NB-01D-WXS-VGUX9V	8741	GLSS-19-0279	NB
GLSS-19-0279-R1-01D-WXS-92Q692	8741	GLSS-19-0279	R1
GLSS-19-0279-R2-01D-WXS-TVJ8F8	8741	GLSS-19-0279	R2
GLSS-19-0279-TP-01D-WXS-GQ9A87	8741	GLSS-19-0279	TP
GLSS-19-0280-NB-01D-WXS-Z129LN	674	GLSS-19-0280	NB
GLSS-19-0280-R1-01D-WXS-Z88Q0N	674	GLSS-19-0280	R1
GLSS-19-0280-TP-01D-WXS-V4MP15	674	GLSS-19-0280	TP
GLSS-AT-00P1-NB-01D-WXS-CAEJ1G	404	GLSS-AT-00P1	NB
GLSS-AT-00P1-R1-01D-WXS-437ED2	404	GLSS-AT-00P1	R1
GLSS-AT-00P1-TP-01D-WXS-EF0XQE	404	GLSS-AT-00P1	TP
GLSS-AT-00P2-NB-01D-WXS-Y5GF1T	496	GLSS-AT-00P2	NB
GLSS-AT-00P2-R1-01D-WXS-91HJSJ	496	GLSS-AT-00P2	R1
GLSS-AT-00P2-TP-01D-WXS-RBLYWF	496	GLSS-AT-00P2	TP
GLSS-AT-00P3-NB-01D-WXS-U3TN59	752	GLSS-AT-00P3	NB
GLSS-AT-00P3-R1-01D-WXS-N2Q7XG	752	GLSS-AT-00P3	R1
GLSS-AT-00P3-TP-01D-WXS-T88KH3	752	GLSS-AT-00P3	TP
GLSS-AT-00P4-NB-01D-WXS-00OYI2	3049	GLSS-AT-00P4	NB
GLSS-AT-00P4-R1-01D-WXS-REP89L	3049	GLSS-AT-00P4	R1
GLSS-AT-00P4-TP-01D-WXS-EIOJQ8	3049	GLSS-AT-00P4	TP
GLSS-AT-00P5-NB-01D-WXS-55130Q	395	GLSS-AT-00P5	NB
GLSS-AT-00P5-R1-01D-WXS-8VNHLX	395	GLSS-AT-00P5	R1
GLSS-AT-00P5-TP-01D-WXS-QAIYAY	395	GLSS-AT-00P5	TP
GLSS-AT-00P6-NB-01D-WXS-M1DTDB	559	GLSS-AT-00P6	NB
GLSS-AT-00P6-R1-01D-WXS-JQX1ST	559	GLSS-AT-00P6	R1
GLSS-AT-00P6-TP-01D-WXS-A3KN92	559	GLSS-AT-00P6	TP
GLSS-AT-00P7-NB-01D-WXS-35XTG9	379	GLSS-AT-00P7	NB
GLSS-AT-00P7-R1-01D-WXS-K26V8Q	379	GLSS-AT-00P7	R1
GLSS-AT-00P7-TP-01D-WXS-N53RYM	379	GLSS-AT-00P7	TP
GLSS-AT-GP01-NB-01D-WXS-ND65WH	2423	GLSS-AT-GP01	NB
GLSS-AT-GP01-R1-01D-WXS-AZT8L7	2423	GLSS-AT-GP01	R1
GLSS-AT-GP01-R1-02D-WXS-U5GPYY	2423	GLSS-AT-GP01	R1
GLSS-AT-GP01-R1-03D-WXS-SXQB8I	2423	GLSS-AT-GP01	R1
GLSS-AT-GP01-R1-04D-WXS-WAMUH4	2423	GLSS-AT-GP01	R1
GLSS-AT-GP01-TP-01D-WXS-TI55UY	2423	GLSS-AT-GP01	TP
GLSS-AT-GP01-TP-02D-WXS-DPVLWZ	2423	GLSS-AT-GP01	TP
GLSS-AT-GP01-TP-03D-WXS-VHOP3P	2423	GLSS-AT-GP01	TP
GLSS-CU-P003-NB-01D-WXS-2LP7VK	251	GLSS-CU-P003	NB
