case	gene	probe	delta_beta	delta_rna	beta_tp	beta_r1
GLSS-LU-00C7	CHI3L1	cg02097014	0.06746499385328719	4.81758900373863	0.0932109939815178	0.160675987834805
GLSS-LU-00C7	CHI3L1	cg03625911	-0.04019819999999996	4.81758900373863	0.8419454	0.8017472
GLSS-LU-00C7	CHI3L1	cg04361579	0.0581174000000001	4.81758900373863	0.8866679	0.9447853
GLSS-LU-00C7	CHI3L1	cg05526099	0.035113300000000014	4.81758900373863	0.9139551	0.9490684
GLSS-LU-00C7	CHI3L1	cg07423149	0.0954062	4.81758900373863	0.228576	0.3239822
GLSS-LU-00C7	CHI3L1	cg11196333	-0.003585699999999914	4.81758900373863	0.9234756	0.9198899
GLSS-LU-00C7	CHI3L1	cg13134650	0.015206300000000006	4.81758900373863	0.1265768	0.1417831
GLSS-LU-00C7	CHI3L1	cg14085262	0.013935500000000045	4.81758900373863	0.3434192	0.3573547
GLSS-LU-00C7	CHI3L1	cg14165900	0.07177800000000001	4.81758900373863	0.881837	0.953615
GLSS-LU-00C7	CHI3L1	cg15490070	0.09463850000000007	4.81758900373863	0.7330285	0.827667
GLSS-LU-00C7	CHI3L1	cg17000774	-0.037245299999999926	4.81758900373863	0.8597718	0.8225265
GLSS-LU-00C7	CHI3L1	cg17014757	0.05720599999999998	4.81758900373863	0.1989148	0.2561208
GLSS-LU-00C7	CHI3L1	cg19081101	-0.1670793	4.81758900373863	0.4006859	0.2336066
GLSS-LU-00C7	CHI3L1	cg20707774	0.01606940000000001	4.81758900373863	0.9171638	0.9332332
GLSS-LU-00C7	CD44	cg01663768	0.012428722022881304	4.896503332073103	0.0473963877433631	0.0598251097662444
GLSS-LU-00C7	CD44	cg01766065	-0.033794133859364896	4.896503332073103	0.0826255299077168	0.0488313960483519
GLSS-LU-00C7	CD44	cg01879488	-0.10057418144574451	4.896503332073103	0.18170839137013	0.0811342099243855
GLSS-LU-00C7	CD44	cg02081846	0.30735817083945904	4.896503332073103	0.5685052759625	0.875863446801959
GLSS-LU-00C7	CD44	cg02663352	0.018361441576885018	4.896503332073103	0.83514709534054	0.853508536917425
GLSS-LU-00C7	CD44	cg04125208	0.017270469999999996	4.896503332073103	0.0684135	0.08568397
GLSS-LU-00C7	CD44	cg04171808	-0.1477985	4.896503332073103	0.4693493	0.3215508
GLSS-LU-00C7	CD44	cg04699227	0.3479533	4.896503332073103	0.4547639	0.8027172
GLSS-LU-00C7	CD44	cg06975166	0.11706269999999996	4.896503332073103	0.8317641	0.9488268
