gene	probe	n_patients	correlation	p_value	mean_beta_tp	mean_beta_r1	mean_delta_beta
CHI3L1	cg13134650	28	0.4904	0.008061054593855008	0.2799	0.3206	0.0406
CD44	cg15427520	28	0.457	0.014483703950973544	0.9003	0.8701	-0.0302
CHI3L1	cg17014757	27	-0.4481	0.01907343228659474	0.4677	0.4695	0.0018
CHI3L1	cg15490070	28	-0.4083	0.030994624861858118	0.6392	0.65	0.0109
CHI3L1	cg03625911	28	-0.4034	0.03328436171206711	0.7006	0.6873	-0.0133
CD44	cg08530414	28	-0.3804	0.045832309749458754	0.1376	0.1524	0.0148
CHI3L1	cg04361579	28	0.3766	0.04824696574318268	0.9429	0.9503	0.0074
CHI3L1	cg14085262	28	-0.3651	0.05609813563991661	0.4665	0.4604	-0.0061
CD44	cg18652941	28	0.3629	0.057701026001291074	0.0667	0.0698	0.0031
CHI3L1	cg02097014	28	0.3623	0.05810728968481258	0.1502	0.1992	0.0489
CD44	cg09077672	27	0.34	0.08265546656331203	0.8886	0.8496	-0.0389
CD44	cg04699227	24	0.3522	0.09145834490857087	0.855	0.8672	0.0122
CD44	cg08688659	28	-0.272	0.16139488697261778	0.8778	0.8715	-0.0063
CD44	cg13332350	27	0.2466	0.21489541673183443	0.6532	0.6557	0.0025
CD44	cg07262328	28	0.2146	0.27289949277730796	0.0769	0.0752	-0.0017
CD44	cg16344511	28	0.2118	0.2792100165210172	0.7417	0.6993	-0.0424
CD44	cg23186333	20	-0.2451	0.2976005003886619	0.7915	0.8167	0.0252
CD44	cg04171808	28	-0.2009	0.3053781110243271	0.4622	0.4156	-0.0467
CHI3L1	cg05526099	28	-0.1839	0.3488582722281328	0.9119	0.902	-0.0098
CD44	cg19292760	28	0.1511	0.4428748152843759	0.5166	0.4849	-0.0317
CD44	cg17640322	27	-0.1465	0.4658393792074647	0.0512	0.0224	-0.0289
CD44	cg23210303	23	0.1571	0.47402784223966754	0.8299	0.8337	0.0038
CHI3L1	cg17000774	28	-0.1357	0.49099458568782484	0.729	0.7225	-0.0065
CD44	cg20971158	25	-0.1277	0.5430063475050673	0.8249	0.8281	0.0032
CHI3L1	cg14165900	28	-0.1193	0.5453321466404524	0.9372	0.944	0.0068
CD44	cg16175294	27	-0.1215	0.5460762372666605	0.8649	0.8619	-0.003
CD44	cg01766065	28	-0.1182	0.5490517704141914	0.0378	0.0338	-0.0041
CD44	cg02081846	27	0.1154	0.5665731912388559	0.8866	0.8968	0.0102
CD44	cg01879488	28	0.1067	0.5888016505319207	0.0645	0.0582	-0.0063
CHI3L1	cg20707774	28	-0.0952	0.6297529435898365	0.9026	0.904	0.0014
CHI3L1	cg19081101	26	0.0933	0.6501924085712949	0.4669	0.4469	-0.02
CD44	cg21076259	28	-0.0826	0.6758625823006524	0.1842	0.185	0.0009
CD44	cg08606356	28	-0.0772	0.6962853459956214	0.0434	0.0433	-0.0001
CD44	cg19430728	27	0.0702	0.7278576283249973	0.8771	0.8817	0.0046
CD44	cg01663768	28	-0.0619	0.7545407778923472	0.0632	0.0726	0.0095
CHI3L1	cg11196333	28	0.0602	0.7608676153879369	0.8446	0.861	0.0164
CD44	cg13369159	27	0.0549	0.7854691986538496	0.8884	0.9037	0.0154
CD44	cg14082886	27	-0.0549	0.7854691986538496	0.7314	0.6929	-0.0385
CHI3L1	cg07423149	28	-0.0498	0.8012720877860341	0.3758	0.4335	0.0577
CD44	cg14593191	19	-0.0596	0.8083397138561061	0.3486	0.3519	0.0033
CD44	cg15239179	28	0.0383	0.846514950590931	0.8498	0.8357	-0.0141
CD44	cg06975166	28	0.0372	0.8508510986875691	0.9349	0.9289	-0.006
CD44	cg15695194	28	-0.0328	0.8682369571544711	0.845	0.8249	-0.0201
CD44	cg20143092	28	0.0213	0.9141408073542384	0.0691	0.0737	0.0046
CD44	cg04125208	28	0.0109	0.9559105012764118	0.119	0.1135	-0.0056
CD44	cg02663352	28	-0.0055	0.9779473255739854	0.7918	0.7434	-0.0484
CD44	cg25096745	27	-0.0049	0.9807112245877196	0.8477	0.8496	0.0019
